"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"26.08.2018","4,0545","4,1066","4,2151","4,0472","","-1,14%"
"19.08.2018","4,1012","3,9132","4,1326","3,9132","","4,87%"
"12.08.2018","3,9108","3,8582","3,9532","3,8582","","1,36%"
"05.08.2018","3,8584","3,7053","3,8744","3,6902","","4,08%"
"29.07.2018","3,7070","3,7146","3,7822","3,6960","","-0,08%"
"22.07.2018","3,7099","3,7659","3,8035","3,6879","","-1,52%"
"15.07.2018","3,7671","3,8508","3,8927","3,7580","","-2,19%"
"08.07.2018","3,8514","3,8650","3,9028","3,7935","","-0,28%"
"01.07.2018","3,8624","3,8781","3,9533","3,8593","","-0,36%"
"24.06.2018","3,8765","3,7877","3,8802","3,7610","","2,41%"
"17.06.2018","3,7852","3,7301","3,8042","3,7060","","1,50%"
"10.06.2018","3,7294","3,7092","3,8157","3,6677","","0,55%"
"03.06.2018","3,7091","3,7661","3,9678","3,6930","","-1,43%"
"27.05.2018","3,7630","3,6512","3,7707","3,6510","","3,06%"
"20.05.2018","3,6514","3,7383","3,7389","3,6160","","-2,26%"
"13.05.2018","3,7360","3,5991","3,7768","3,5726","","3,80%"
"06.05.2018","3,5991","3,5307","3,6127","3,5307","","1,98%"
"29.04.2018","3,5291","3,4574","3,5676","3,4574","","2,12%"
"22.04.2018","3,4559","3,4137","3,5159","3,4137","","1,27%"
"15.04.2018","3,4124","3,4255","3,4362","3,3732","","-0,28%"
"08.04.2018","3,4220","3,3690","3,4362","3,3631","","1,58%"
"01.04.2018","3,3689","3,3045","3,3807","3,2954","","1,95%"
"25.03.2018","3,3046","3,3140","3,3466","3,2924","","-0,22%"
"18.03.2018","3,3119","3,2786","3,3194","3,2638","","0,95%"
"11.03.2018","3,2807","3,2553","3,2997","3,2374","","0,80%"
"04.03.2018","3,2548","3,2528","3,2710","3,2057","","0,08%"
"25.02.2018","3,2523","3,2379","3,2717","3,2218","","0,46%"
"18.02.2018","3,2374","3,2315","3,2738","3,2218","","0,20%"
"11.02.2018","3,2310","3,2957","3,2974","3,1983","","-1,91%"
"04.02.2018","3,2939","3,2185","3,3189","3,2136","","2,36%"
"28.01.2018","3,2180","3,1534","3,2237","3,1458","","2,13%"
"21.01.2018","3,1509","3,1967","3,2445","3,1198","","-1,41%"
"14.01.2018","3,1961","3,2060","3,2390","3,1918","","-0,32%"
"07.01.2018","3,2063","3,2292","3,2559","3,1995","","-0,70%"
"31.12.2017","3,2288","3,3135","3,3135","3,2218","","-2,52%"
"24.12.2017","3,3121","3,3376","3,3376","3,2920","","-0,74%"
"17.12.2017","3,3369","3,2949","3,3403","3,2784","","1,28%"
"10.12.2017","3,2946","3,2912","3,3482","3,2729","","0,09%"
"03.12.2017","3,2918","3,2581","3,3187","3,2199","","1,04%"
"26.11.2017","3,2580","3,2330","3,2887","3,2005","","0,78%"
"19.11.2017","3,2329","3,2574","3,2665","3,2188","","-0,75%"
"12.11.2017","3,2573","3,2822","3,3180","3,2548","","-0,63%"
"05.11.2017","3,2778","3,3144","3,3144","3,2362","","-1,10%"
"29.10.2017","3,3142","3,2366","3,3354","3,2346","","2,42%"
"22.10.2017","3,2360","3,1930","3,3031","3,1895","","1,37%"
"15.10.2017","3,1923","3,1450","3,1979","3,1437","","1,51%"
"08.10.2017","3,1447","3,1558","3,1898","3,1439","","-0,35%"
"01.10.2017","3,1558","3,1641","3,1786","3,1221","","-0,18%"
"24.09.2017","3,1614","3,1324","3,2004","3,1260","","1,19%"
"17.09.2017","3,1243","3,1107","3,1470","3,1080","","0,53%"
"10.09.2017","3,1079","3,0905","3,1504","3,0789","","0,69%"
"03.09.2017","3,0865","3,1410","3,1452","3,0821","","-1,73%"
"27.08.2017","3,1409","3,1587","3,1767","3,1223","","-0,59%"
"20.08.2017","3,1595","3,1493","3,1907","3,1328","","0,42%"
"13.08.2017","3,1462","3,1762","3,2062","3,1405","","-1,48%"
"06.08.2017","3,1934","3,1316","3,2208","3,1190","","2,01%"
"30.07.2017","3,1305","3,1330","3,1444","3,1074","","-0,04%"
"23.07.2017","3,1316","3,1400","3,1774","3,1288","","-0,32%"
"16.07.2017","3,1416","3,1804","3,1879","3,1102","","-1,19%"
"09.07.2017","3,1794","3,2799","3,2813","3,1781","","-3,11%"
"02.07.2017","3,2813","3,3194","3,3317","3,2679","","-0,78%"
"25.06.2017","3,3072","3,3453","3,3453","3,2708","","-1,07%"
"18.06.2017","3,3430","3,2901","3,3488","3,2801","","1,51%"
"11.06.2017","3,2933","3,2967","3,3340","3,2641","","-0,12%"
"04.06.2017","3,2971","3,2471","3,3026","3,2471","","1,50%"
"28.05.2017","3,2483","3,2670","3,2774","3,2151","","-0,36%"
"21.05.2017","3,2601","3,2533","3,3190","3,2470","","0,22%"
"14.05.2017","3,2530","3,1224","3,4093","3,0873","","4,20%"
"07.05.2017","3,1218","3,1753","3,2077","3,1164","","-1,75%"
"30.04.2017","3,1774","3,1774","3,1968","3,1413","","0,02%"
"23.04.2017","3,1767","3,1505","3,2149","3,1181","","0,91%"
"16.04.2017","3,1482","3,1448","3,1711","3,0878","","0,11%"
"09.04.2017","3,1448","3,1465","3,1599","3,1145","","-0,04%"
"02.04.2017","3,1462","3,1231","3,1593","3,0801","","0,73%"
"26.03.2017","3,1233","3,1077","3,1785","3,1073","","0,47%"
"19.03.2017","3,1086","3,0927","3,1514","3,0606","","0,54%"
"12.03.2017","3,0918","3,1387","3,1829","3,0876","","-1,52%"
"05.03.2017","3,1395","3,1158","3,1996","3,1012","","0,76%"
"26.02.2017","3,1158","3,1115","3,1633","3,0905","","0,15%"
"19.02.2017","3,1110","3,1019","3,1195","3,0524","","0,20%"
"12.02.2017","3,1048","3,1147","3,1285","3,0396","","-0,35%"
"05.02.2017","3,1158","3,1193","3,1376","3,1057","","-0,06%"
"29.01.2017","3,1177","3,1391","3,1631","3,1013","","-0,74%"
"22.01.2017","3,1410","3,1695","3,1954","3,1398","","-0,88%"
"15.01.2017","3,1690","3,2236","3,2445","3,1689","","-1,62%"
"08.01.2017","3,2213","3,2250","3,2323","3,1528","","-0,09%"
"01.01.2017","3,2241","3,2534","3,2923","3,1871","","-0,94%"
"25.12.2016","3,2547","3,2720","3,2969","3,2416","","-0,50%"
"18.12.2016","3,2710","3,3920","3,4037","3,2575","","-3,57%"
"11.12.2016","3,3920","3,3775","3,4126","3,3017","","0,40%"
"04.12.2016","3,3785","3,4765","3,4821","3,3525","","-2,79%"
"27.11.2016","3,4755","3,4215","3,4928","3,3756","","1,55%"
"20.11.2016","3,4223","3,3838","3,4687","3,3288","","1,15%"
"13.11.2016","3,3835","3,3927","3,4750","3,3715","","-0,24%"
"06.11.2016","3,3915","3,2348","3,5086","3,1630","","4,88%"
"30.10.2016","3,2337","3,2045","3,2649","3,1638","","0,85%"
"23.10.2016","3,2065","3,1515","3,2078","3,1026","","1,76%"
"16.10.2016","3,1511","3,2066","3,2180","3,1348","","-1,68%"
"09.10.2016","3,2051","3,2227","3,2279","3,1647","","-0,48%"
"02.10.2016","3,2204","3,2630","3,2639","3,1920","","-1,22%"
"25.09.2016","3,2603","3,2450","3,2706","3,2137","","0,47%"
"18.09.2016","3,2450","3,2632","3,2792","3,1813","","-0,53%"
"11.09.2016","3,2622","3,2724","3,3681","3,2409","","-0,35%"
"04.09.2016","3,2735","3,2573","3,2864","3,1658","","0,51%"
"28.08.2016","3,2568","3,2663","3,2918","3,2163","","-0,27%"
"21.08.2016","3,2655","3,2070","3,2795","3,1849","","1,93%"
"14.08.2016","3,2038","3,1918","3,2515","3,1564","","0,35%"
"07.08.2016","3,1925","3,1644","3,1950","3,1130","","0,84%"
"31.07.2016","3,1660","3,2496","3,2936","3,1602","","-2,54%"
"24.07.2016","3,2486","3,2568","3,2999","3,2283","","-0,24%"
"17.07.2016","3,2565","3,2764","3,2965","3,2378","","-0,78%"
"10.07.2016","3,2820","3,2999","3,3201","3,2172","","-0,56%"
"03.07.2016","3,3006","3,2336","3,3720","3,2301","","1,99%"
"26.06.2016","3,2361","3,3725","3,4167","3,1831","","-4,08%"
"19.06.2016","3,3739","3,4177","3,4507","3,3318","","-1,24%"
"12.06.2016","3,4163","3,4195","3,5157","3,4134","","-0,07%"
"05.06.2016","3,4188","3,5278","3,5297","3,3565","","-2,99%"
"29.05.2016","3,5240","3,6114","3,6381","3,5215","","-2,43%"
"22.05.2016","3,6116","3,5206","3,6303","3,5132","","2,60%"
"15.05.2016","3,5202","3,5316","3,6191","3,4819","","-0,39%"
"08.05.2016","3,5340","3,5025","3,6770","3,4361","","0,91%"
"01.05.2016","3,5023","3,4364","3,5835","3,4341","","1,94%"
"24.04.2016","3,4358","3,5648","3,5701","3,4289","","-3,61%"
"17.04.2016","3,5646","3,5318","3,6188","3,4717","","0,89%"
"10.04.2016","3,5332","3,5869","3,5918","3,4574","","-1,58%"
"03.04.2016","3,5901","3,5536","3,7200","3,5470","","1,02%"
"27.03.2016","3,5538","3,6869","3,6889","3,5326","","-3,52%"
"20.03.2016","3,6835","3,6245","3,7217","3,5743","","1,64%"
"13.03.2016","3,6240","3,5828","3,8540","3,5732","","1,17%"
"06.03.2016","3,5820","3,7582","3,8031","3,5725","","-4,72%"
"28.02.2016","3,7593","3,9940","4,0236","3,6537","","-5,86%"
"21.02.2016","3,9933","4,0206","4,0235","3,9205","","-0,70%"
"14.02.2016","4,0214","4,0027","4,0791","3,9672","","0,47%"
"07.02.2016","4,0027","3,9037","4,0164","3,8820","","2,54%"
"31.01.2016","3,9035","3,9992","4,0280","3,8453","","-2,38%"
"24.01.2016","3,9988","4,0946","4,1251","3,9928","","-2,34%"
"17.01.2016","4,0945","4,0484","4,1738","3,9985","","1,15%"
"10.01.2016","4,0479","4,0245","4,0677","3,9707","","0,58%"
"03.01.2016","4,0245","3,9608","4,0749","3,9590","","1,61%"
"27.12.2015","3,9608","3,9463","4,0200","3,8402","","0,37%"
"20.12.2015","3,9463","3,9823","4,0424","3,9336","","-0,91%"
"13.12.2015","3,9824","3,8730","3,9858","3,8504","","2,82%"
"06.12.2015","3,8730","3,7540","3,8908","3,7165","","3,22%"
"29.11.2015","3,7521","3,8461","3,9243","3,7243","","-2,45%"
"22.11.2015","3,8464","3,7053","3,8491","3,6937","","3,81%"
"15.11.2015","3,7052","3,8453","3,8621","3,7046","","-3,65%"
"08.11.2015","3,8456","3,7713","3,8515","3,7058","","1,97%"
"01.11.2015","3,7713","3,8562","3,8743","3,7425","","-2,21%"
"25.10.2015","3,8564","3,8792","3,9567","3,8241","","-0,63%"
"18.10.2015","3,8807","3,9239","3,9675","3,8466","","-1,12%"
"11.10.2015","3,9245","3,7630","3,9542","3,7552","","4,21%"
"04.10.2015","3,7660","3,9329","3,9516","3,7233","","-4,25%"
"27.09.2015","3,9331","3,9761","4,1548","3,9234","","-1,12%"
"20.09.2015","3,9777","3,9433","4,2491","3,8823","","0,81%"
"13.09.2015","3,9459","3,8733","3,9629","3,8060","","1,95%"
"06.09.2015","3,8705","3,8424","3,9166","3,7643","","0,68%"
"30.08.2015","3,8442","3,5812","3,8617","3,5808","","7,31%"
"23.08.2015","3,5823","3,4998","3,6571","3,4992","","2,33%"
"16.08.2015","3,5007","3,4878","3,5235","3,4488","","0,46%"
"09.08.2015","3,4845","3,5073","3,5294","3,4349","","-0,64%"
"02.08.2015","3,5071","3,4225","3,5711","3,4209","","2,51%"
"26.07.2015","3,4212","3,3541","3,4355","3,3129","","1,95%"
"19.07.2015","3,3556","3,1885","3,3580","3,1639","","5,25%"
"12.07.2015","3,1881","3,1593","3,2039","3,1132","","0,91%"
"05.07.2015","3,1593","3,1341","3,2438","3,1303","","0,78%"
"28.06.2015","3,1347","3,1300","3,1591","3,0861","","0,17%"
"21.06.2015","3,1295","3,0958","3,1433","3,0623","","1,03%"
"14.06.2015","3,0976","3,1190","3,1418","3,0305","","-0,67%"
"07.06.2015","3,1185","3,1433","3,1727","3,0625","","-0,81%"
"31.05.2015","3,1439","3,1785","3,2145","3,1021","","-1,13%"
"24.05.2015","3,1798","3,0957","3,1973","3,0891","","2,74%"
"17.05.2015","3,0949","2,9966","3,1007","2,9947","","3,26%"
"10.05.2015","2,9972","2,9760","3,0788","2,9714","","0,80%"
"03.05.2015","2,9733","3,0163","3,0965","2,9733","","-1,37%"
"26.04.2015","3,0146","2,9516","3,0215","2,8827","","2,13%"
"19.04.2015","2,9517","3,0529","3,0584","2,9501","","-2,93%"
"12.04.2015","3,0409","3,0745","3,1286","2,9988","","-1,13%"
"05.04.2015","3,0756","3,1211","3,1489","3,0232","","-1,45%"
"29.03.2015","3,1210","3,2493","3,2885","3,1178","","-3,96%"
"22.03.2015","3,2496","3,2287","3,2500","3,0923","","0,63%"
"15.03.2015","3,2293","3,2493","3,3176","3,1898","","-0,61%"
"08.03.2015","3,2492","3,0615","3,2813","3,0590","","6,12%"
"01.03.2015","3,0617","2,8392","3,0732","2,8392","","7,84%"
"22.02.2015","2,8390","2,8680","2,9214","2,8267","","-1,01%"
"15.02.2015","2,8680","2,8343","2,8863","2,8284","","1,18%"
"08.02.2015","2,8346","2,7828","2,8834","2,7652","","1,87%"
"01.02.2015","2,7825","2,6824","2,7852","2,6660","","3,73%"
"25.01.2015","2,6824","2,5795","2,6930","2,5655","","3,98%"
"18.01.2015","2,5797","2,6216","2,6650","2,5502","","-1,58%"
"11.01.2015","2,6210","2,6305","2,6827","2,5945","","-0,35%"
"04.01.2015","2,6301","2,6933","2,7306","2,6263","","-2,38%"
"28.12.2014","2,6941","2,6685","2,7133","2,6411","","0,96%"
"21.12.2014","2,6685","2,6603","2,7101","2,6445","","0,33%"
"14.12.2014","2,6598","2,6546","2,7605","2,6398","","0,20%"
"07.12.2014","2,6545","2,5896","2,6780","2,5844","","2,51%"
"30.11.2014","2,5895","2,5654","2,6098","2,5433","","0,92%"
"23.11.2014","2,5659","2,5160","2,5829","2,4954","","2,01%"
"16.11.2014","2,5153","2,6006","2,6190","2,5082","","-3,32%"
"09.11.2014","2,6018","2,5593","2,6301","2,5320","","1,68%"
"02.11.2014","2,5587","2,4787","2,5897","2,4539","","3,24%"
"26.10.2014","2,4783","2,4737","2,5595","2,3932","","0,18%"
"19.10.2014","2,4739","2,4359","2,5186","2,4359","","1,57%"
"12.10.2014","2,4356","2,4294","2,5065","2,3799","","0,25%"
"05.10.2014","2,4295","2,4581","2,4581","2,3563","","-1,19%"
"28.09.2014","2,4588","2,4207","2,5079","2,4207","","1,60%"
"21.09.2014","2,4200","2,3677","2,4436","2,3628","","2,19%"
"14.09.2014","2,3682","2,3393","2,3860","2,3159","","1,24%"
"07.09.2014","2,3392","2,2438","2,3468","2,2396","","4,41%"
"31.08.2014","2,2405","2,2362","2,2571","2,2251","","0,20%"
"24.08.2014","2,2360","2,2775","2,2910","2,2331","","-1,84%"
"17.08.2014","2,2778","2,2599","2,2847","2,2468","","0,80%"
"10.08.2014","2,2598","2,2824","2,2885","2,2565","","-0,94%"
"03.08.2014","2,2812","2,2603","2,3081","2,2479","","1,05%"
"27.07.2014","2,2574","2,2297","2,2849","2,2215","","1,27%"
"20.07.2014","2,2290","2,2250","2,2333","2,2065","","0,16%"
"13.07.2014","2,2255","2,2215","2,2612","2,2099","","0,21%"
"06.07.2014","2,2208","2,2134","2,2287","2,2075","","0,34%"
"29.06.2014","2,2132","2,1936","2,2451","2,1936","","0,88%"
"22.06.2014","2,1940","2,2298","2,2351","2,1869","","-1,59%"
"15.06.2014","2,2295","2,2238","2,2646","2,2230","","0,24%"
"08.06.2014","2,2241","2,2449","2,2460","2,2212","","-1,04%"
"01.06.2014","2,2475","2,2415","2,2921","2,2390","","0,30%"
"25.05.2014","2,2408","2,2219","2,2474","2,2157","","0,78%"
"18.05.2014","2,2235","2,2159","2,2266","2,2003","","0,40%"
"11.05.2014","2,2146","2,2180","2,2285","2,2010","","0,08%"
"04.05.2014","2,2128","2,2299","2,2493","2,1995","","-0,32%"
"27.04.2014","2,2200","2,2421","2,2583","2,2054","","-1,09%"
"20.04.2014","2,2445","2,2370","2,2507","2,2118","","0,33%"
"13.04.2014","2,2372","2,2172","2,2555","2,2055","","0,85%"
"06.04.2014","2,2184","2,2372","2,2496","2,1820","","-0,79%"
"30.03.2014","2,2360","2,2636","2,2889","2,2348","","-1,14%"
"23.03.2014","2,2618","2,3241","2,3348","2,2484","","-2,70%"
"16.03.2014","2,3246","2,3476","2,3604","2,3156","","-0,93%"
"09.03.2014","2,3465","2,3457","2,3766","2,3263","","0,25%"
"02.03.2014","2,3406","2,3384","2,3498","2,2992","","0,09%"
"23.02.2014","2,3384","2,3468","2,3571","2,3178","","-0,31%"
"16.02.2014","2,3456","2,3853","2,4124","2,3417","","-1,82%"
"09.02.2014","2,3891","2,3810","2,4339","2,3788","","0,37%"
"02.02.2014","2,3802","2,4127","2,4405","2,3695","","-1,35%"
"26.01.2014","2,4127","2,4005","2,4506","2,3900","","0,60%"
"19.01.2014","2,3982","2,3425","2,4328","2,3275","","2,37%"
"12.01.2014","2,3426","2,3608","2,3777","2,3383","","-0,67%"
"05.01.2014","2,3584","2,3810","2,4036","2,3547","","-0,76%"
"29.12.2013","2,3765","2,3387","2,4097","2,3259","","1,63%"
"22.12.2013","2,3384","2,3876","2,3876","2,3347","","-2,06%"
"15.12.2013","2,3876","2,3318","2,3892","2,3087","","2,47%"
"08.12.2013","2,3300","2,3312","2,3515","2,3045","","0,14%"
"01.12.2013","2,3267","2,3373","2,3970","2,3217","","-0,39%"
"24.11.2013","2,3358","2,2813","2,3437","2,2768","","2,50%"
"17.11.2013","2,2788","2,3195","2,3196","2,2502","","-1,73%"
"10.11.2013","2,3190","2,3133","2,3486","2,3022","","0,21%"
"03.11.2013","2,3142","2,2521","2,3447","2,2369","","2,55%"
"27.10.2013","2,2567","2,1887","2,2631","2,1738","","3,15%"
"20.10.2013","2,1877","2,1692","2,2096","2,1646","","0,87%"
"13.10.2013","2,1689","2,1790","2,1943","2,1464","","-0,23%"
"06.10.2013","2,1740","2,2076","2,2214","2,1685","","-1,72%"
"29.09.2013","2,2120","2,2567","2,2601","2,1906","","-1,79%"
"22.09.2013","2,2523","2,2105","2,2652","2,1878","","1,90%"
"15.09.2013","2,2102","2,2495","2,2858","2,1795","","-3,07%"
"08.09.2013","2,2803","2,2988","2,3080","2,2600","","-1,14%"
"01.09.2013","2,3066","2,3822","2,4036","2,2800","","-3,34%"
"25.08.2013","2,3862","2,3487","2,4183","2,3203","","1,60%"
"18.08.2013","2,3486","2,3926","2,4553","2,3460","","-1,83%"
"11.08.2013","2,3925","2,2685","2,3981","2,2628","","5,32%"
"04.08.2013","2,2717","2,2885","2,3162","2,2633","","-0,70%"
"28.07.2013","2,2876","2,2525","2,3138","2,2525","","1,36%"
"21.07.2013","2,2568","2,2462","2,2648","2,2104","","0,45%"
"14.07.2013","2,2467","2,2693","2,2725","2,2063","","-0,91%"
"07.07.2013","2,2673","2,2523","2,2805","2,2443","","0,66%"
"30.06.2013","2,2525","2,2295","2,2733","2,2170","","0,91%"
"23.06.2013","2,2321","2,2454","2,2648","2,1751","","-0,44%"
"16.06.2013","2,2420","2,1488","2,2774","2,1431","","4,14%"
"09.06.2013","2,1528","2,1380","2,1669","2,1179","","0,97%"
"02.06.2013","2,1321","2,1445","2,1542","2,0849","","-0,48%"
"26.05.2013","2,1423","2,0517","2,1507","2,0473","","4,41%"
"19.05.2013","2,0518","2,0358","2,0564","2,0266","","0,81%"
"12.05.2013","2,0353","2,0177","2,0417","2,0027","","0,75%"
"05.05.2013","2,0201","2,0105","2,0294","1,9943","","0,55%"
"28.04.2013","2,0091","1,9997","2,0157","1,9903","","0,52%"
"21.04.2013","1,9988","2,0102","2,0298","1,9953","","-0,60%"
"14.04.2013","2,0108","1,9696","2,0226","1,9696","","2,10%"
"07.04.2013","1,9695","1,9886","1,9939","1,9634","","-0,83%"
"31.03.2013","1,9860","2,0186","2,0289","1,9856","","-1,89%"
"24.03.2013","2,0242","2,0101","2,0276","2,0032","","0,75%"
"17.03.2013","2,0091","1,9858","2,0194","1,9754","","1,38%"
"10.03.2013","1,9817","1,9480","1,9848","1,9412","","1,90%"
"03.03.2013","1,9447","1,9830","1,9878","1,9427","","-1,74%"
"24.02.2013","1,9792","1,9743","1,9938","1,9632","","0,33%"
"17.02.2013","1,9727","1,9683","1,9792","1,9528","","0,20%"
"10.02.2013","1,9688","1,9689","1,9733","1,9498","","-0,22%"
"03.02.2013","1,9732","1,9878","1,9975","1,9510","","-0,73%"
"27.01.2013","1,9878","2,0303","2,0366","1,9787","","-2,08%"
"20.01.2013","2,0300","2,0405","2,0511","2,0275","","-0,53%"
"13.01.2013","2,0408","2,0292","2,0460","2,0292","","0,37%"
"06.01.2013","2,0332","2,0343","2,0461","2,0202","","-0,07%"
"30.12.2012","2,0347","2,0478","2,0505","2,0320","","-0,63%"